frame,source,sorted_index,alpha,normalized_weight,cumulative_weight,selected
0,matlab_export,0,10.5,0.09749909387459224,0.09749909387459224,False
0,matlab_export,1,10.5,0.09568684305907937,0.19318593693367161,False
0,matlab_export,2,14.0,0.09858644436389996,0.29177238129757155,False
0,matlab_export,3,15.0,0.09931134469010511,0.39108372598767666,False
0,matlab_export,4,18.0,0.09967379485320768,0.4907575208408843,False
0,matlab_export,5,18.5,0.09786154403769481,0.5886190648785792,True
0,matlab_export,6,19.0,0.11199710039869518,0.7006161652772743,False
0,matlab_export,7,20.0,0.11054729974628488,0.8111634650235592,False
0,matlab_export,8,20.0,0.09496194273287423,0.9061254077564334,False
0,matlab_export,9,23.0,0.09387459224356651,0.9999999999999999,False
0,python_same_mask,0,10.5,0.096415770609319,0.096415770609319,False
0,python_same_mask,1,10.5,0.09462365591397849,0.19103942652329747,False
0,python_same_mask,2,14.0,0.0974910394265233,0.2885304659498208,False
0,python_same_mask,3,15.0,0.0982078853046595,0.3867383512544803,False
0,python_same_mask,4,18.0,0.0985663082437276,0.4853046594982079,False
0,python_same_mask,5,18.5,0.0967741935483871,0.582078853046595,True
0,python_same_mask,6,19.0,0.110752688172043,0.692831541218638,False
0,python_same_mask,7,20.0,0.10931899641577061,0.8021505376344086,False
0,python_same_mask,8,20.0,0.0992831541218638,0.9014336917562724,False
0,python_same_mask,9,21.0,0.0985663082437276,1.0,False
122,matlab_export,0,9.5,0.09787530477185649,0.09787530477185649,False
122,matlab_export,1,12.0,0.10101010101010101,0.1988854057819575,False
122,matlab_export,2,13.5,0.10518982932776036,0.3040752351097179,False
122,matlab_export,3,14.5,0.10101010101010101,0.4050853361198189,False
122,matlab_export,4,15.0,0.1079763148728666,0.5130616509926855,True
122,matlab_export,5,23.5,0.09299895506792058,0.6060606060606061,False
122,matlab_export,6,27.5,0.0926506443747823,0.6987112504353884,False
122,matlab_export,7,28.0,0.0961337513061651,0.7948450017415535,False
122,matlab_export,8,28.5,0.10588645071403692,0.9007314524555904,False
122,matlab_export,9,30.0,0.09926854754440961,1.0,False
122,python_same_mask,0,9.5,0.09703038674033149,0.09703038674033149,False
122,python_same_mask,1,12.0,0.10013812154696132,0.19716850828729282,False
122,python_same_mask,2,13.0,0.09633977900552486,0.2935082872928177,False
122,python_same_mask,3,13.5,0.1042817679558011,0.39779005524861877,False
122,python_same_mask,4,14.5,0.10013812154696132,0.4979281767955801,False
122,python_same_mask,5,15.0,0.10704419889502763,0.6049723756906077,True
122,python_same_mask,6,27.5,0.09633977900552486,0.7013121546961325,False
122,python_same_mask,7,28.0,0.09530386740331492,0.7966160220994474,False
122,python_same_mask,8,28.5,0.10497237569060773,0.9015883977900551,False
122,python_same_mask,9,29.5,0.09841160220994476,0.9999999999999998,False
533,matlab_export,0,12.0,0.09472959007922839,0.09472959007922839,False
533,matlab_export,1,18.5,0.0940406476059249,0.18877023768515327,False
533,matlab_export,2,19.0,0.1105752669652084,0.2993455046503617,False
533,matlab_export,3,19.0,0.09989665862900447,0.3992421632793662,False
533,matlab_export,4,19.5,0.1009300723389597,0.5001722356183259,True
533,matlab_export,5,20.5,0.11643127798828798,0.6166035136066139,False
533,matlab_export,6,21.0,0.10024112986565621,0.7168446434722702,False
533,matlab_export,7,21.5,0.09679641749913882,0.813641060971409,False
533,matlab_export,8,22.0,0.09472959007922839,0.9083706510506374,False
533,matlab_export,9,24.5,0.09162934894936273,1.0000000000000002,False
533,python_same_mask,0,12.0,0.09246805648957633,0.09246805648957633,False
533,python_same_mask,1,18.0,0.09717552118359113,0.18964357767316747,False
533,python_same_mask,2,19.0,0.10793544048419637,0.2975790181573639,False
533,python_same_mask,3,19.0,0.09751176866173504,0.3950907868190989,False
533,python_same_mask,4,19.5,0.101546738399462,0.4966375252185609,False
533,python_same_mask,5,19.5,0.09852051109616677,0.5951580363147277,True
533,python_same_mask,6,20.5,0.1136516476126429,0.7088096839273706,False
533,python_same_mask,7,21.0,0.09784801613987895,0.8066577000672496,False
533,python_same_mask,8,21.5,0.0988567585743107,0.9055144586415602,False
533,python_same_mask,9,21.5,0.09448554135843981,1.0,False
691,matlab_export,0,5.5,0.09645061728395062,0.09645061728395062,False
691,matlab_export,1,11.0,0.09876543209876543,0.19521604938271603,False
691,matlab_export,2,13.0,0.1095679012345679,0.3047839506172839,False
691,matlab_export,3,14.5,0.10802469135802469,0.4128086419753086,False
691,matlab_export,4,16.5,0.09645061728395062,0.5092592592592592,True
691,matlab_export,5,25.5,0.0941358024691358,0.603395061728395,False
691,matlab_export,6,28.5,0.09529320987654322,0.6986882716049382,False
691,matlab_export,7,29.0,0.09529320987654322,0.7939814814814814,False
691,matlab_export,8,30.5,0.10146604938271606,0.8954475308641975,False
691,matlab_export,9,31.0,0.10455246913580248,1.0,False
691,python_same_mask,0,5.5,0.09538344143456697,0.09538344143456697,False
691,python_same_mask,1,11.0,0.09767264402899657,0.19305608546356354,False
691,python_same_mask,2,13.0,0.10835558946966807,0.3014116749332316,False
691,python_same_mask,3,14.5,0.106829454406715,0.4082411293399466,False
691,python_same_mask,4,16.5,0.09538344143456697,0.5036245707745136,True
691,python_same_mask,5,29.5,0.09690957649752004,0.6005341472720337,False
691,python_same_mask,6,30.0,0.09996184662342618,0.7004959938954599,False
691,python_same_mask,7,30.5,0.10034338038916445,0.8008393742846244,False
691,python_same_mask,8,31.0,0.10339565051507059,0.904235024799695,False
691,python_same_mask,9,32.0,0.09576497520030523,1.0000000000000002,False
955,matlab_export,0,8.5,0.10248793167471222,0.10248793167471222,False
955,matlab_export,1,10.0,0.09766060155959896,0.2001485332343112,False
955,matlab_export,2,12.5,0.09728926847382102,0.2974378017081322,False
955,matlab_export,3,14.0,0.11288525807649462,0.41032305978462685,False
955,matlab_export,4,14.5,0.09951726698848867,0.5098403267731155,True
955,matlab_export,5,18.5,0.0980319346453769,0.6078722614184924,False
955,matlab_export,6,26.5,0.09914593390271073,0.7070181953212031,False
955,matlab_export,7,27.5,0.1065725956182696,0.8135907909394727,False
955,matlab_export,8,29.0,0.09357593761604159,0.9071667285555143,False
955,matlab_export,9,29.0,0.09283327144448571,1.0,False
955,python_same_mask,0,8.5,0.1021843761569789,0.1021843761569789,False
955,python_same_mask,1,10.0,0.09737134394668641,0.1995557201036653,False
955,python_same_mask,2,12.5,0.09700111069974084,0.2965568308034061,False
955,python_same_mask,3,14.0,0.11255090707145501,0.4091077378748611,False
955,python_same_mask,4,14.5,0.09922251018141429,0.5083302480562754,True
955,python_same_mask,5,18.5,0.09774157719363198,0.6060718252499073,False
955,python_same_mask,6,26.5,0.09885227693446871,0.7049241021843761,False
955,python_same_mask,7,27.5,0.10625694187338022,0.8111810440577563,False
955,python_same_mask,8,28.5,0.09626064420584969,0.9074416882636059,False
955,python_same_mask,9,29.0,0.09255831173639392,0.9999999999999999,False
1066,matlab_export,0,18.5,0.1021261763680725,0.1021261763680725,False
1066,matlab_export,1,19.0,0.09620076681770652,0.19832694318577904,False
1066,matlab_export,2,19.5,0.10805158591843848,0.30637852910421753,False
1066,matlab_export,3,19.5,0.10352039037992332,0.40989891948414087,False
1066,matlab_export,4,20.0,0.10596026490066225,0.5158591843848032,True
1066,matlab_export,5,20.0,0.09585221331474382,0.611711397699547,False
1066,matlab_export,6,20.5,0.09724642732659464,0.7089578250261416,False
1066,matlab_export,7,21.0,0.09654932032066922,0.8055071453468108,False
1066,matlab_export,8,21.5,0.09585221331474382,0.9013593586615546,False
1066,matlab_export,9,24.5,0.09864064133844545,1.0,False
1066,python_same_mask,0,18.5,0.09996588195155237,0.09996588195155237,False
1066,python_same_mask,1,19.0,0.09416581371545547,0.19413169566700783,False
1066,python_same_mask,2,19.5,0.10576595018764927,0.2998976458546571,False
1066,python_same_mask,3,19.5,0.10371886728079154,0.40361651313544866,False
1066,python_same_mask,4,19.5,0.10133060388945753,0.5049471170249062,True
1066,python_same_mask,5,20.5,0.10337768679631525,0.6083248038212214,False
1066,python_same_mask,6,20.5,0.10064824292050495,0.7089730467417263,False
1066,python_same_mask,7,20.5,0.0992835209825998,0.8082565677243261,False
1066,python_same_mask,8,20.5,0.09518935516888434,0.9034459228932105,False
1066,python_same_mask,9,24.5,0.0965540771067895,1.0,False
1600,matlab_export,0,13.0,0.09605309116311561,0.09605309116311561,False
1600,matlab_export,1,14.0,0.09710094306671324,0.19315403422982885,False
1600,matlab_export,2,16.5,0.09849807893817673,0.2916521131680056,False
1600,matlab_export,3,18.5,0.09884736290604261,0.3904994760740482,False
1600,matlab_export,4,18.5,0.09814879497031086,0.4886482710443591,False
1600,matlab_export,5,19.0,0.1100244498777506,0.5986727209221097,True
1600,matlab_export,6,19.5,0.09465595529165212,0.6933286762137618,False
1600,matlab_export,7,20.5,0.10583304226336011,0.7991617184771219,False
1600,matlab_export,8,21.0,0.10583304226336011,0.904994760740482,False
1600,matlab_export,9,24.5,0.09500523925951798,1.0,False
1600,python_same_mask,0,14.0,0.09589513625388064,0.09589513625388064,False
1600,python_same_mask,1,16.5,0.09727492238703,0.19317005864091064,False
1600,python_same_mask,2,18.0,0.0996895481200414,0.292859606760952,False
1600,python_same_mask,3,18.5,0.09761986892031735,0.3904794756812694,False
1600,python_same_mask,4,18.5,0.09692997585374268,0.4874094515350121,False
1600,python_same_mask,5,19.0,0.10865815798551225,0.5960676095205243,True
1600,python_same_mask,6,20.0,0.09589513625388064,0.691962745774405,False
1600,python_same_mask,7,20.5,0.10451879958606416,0.7964815453604691,False
1600,python_same_mask,8,21.0,0.10451879958606416,0.9010003449465332,False
1600,python_same_mask,9,21.5,0.09899965505346671,1.0,False
2133,matlab_export,0,9.0,0.09558567952728536,0.09558567952728536,False
2133,matlab_export,1,10.5,0.10218978102189781,0.19777546054918316,False
2133,matlab_export,2,16.5,0.09419534237052485,0.291970802919708,False
2133,matlab_export,3,19.0,0.10636079249217935,0.39833159541188734,False
2133,matlab_export,4,19.5,0.10566562391379909,0.5039972193256864,True
2133,matlab_export,5,20.0,0.0948905109489051,0.5988877302745915,False
2133,matlab_export,6,20.5,0.11609315258950295,0.7149808828640944,False
2133,matlab_export,7,20.5,0.09454292665971498,0.8095238095238094,False
2133,matlab_export,8,20.5,0.09384775808133472,0.9033715676051441,False
2133,matlab_export,9,24.5,0.09662843239485576,0.9999999999999999,False
2133,python_same_mask,0,9.0,0.0932519498134961,0.0932519498134961,False
2133,python_same_mask,1,10.5,0.09969481180061038,0.19294676161410648,False
2133,python_same_mask,2,18.5,0.10037300779925398,0.29331976941336046,False
2133,python_same_mask,3,19.5,0.10918955578162089,0.40250932519498134,False
2133,python_same_mask,4,19.5,0.10308579179382842,0.5055951169888098,True
2133,python_same_mask,5,20.0,0.09257375381485249,0.5981688708036622,False
2133,python_same_mask,6,20.5,0.11325873177348254,0.7114276025771448,False
2133,python_same_mask,7,20.5,0.09223465581553068,0.8036622583926755,False
2133,python_same_mask,8,21.5,0.10206849779586301,0.9057307561885385,False
2133,python_same_mask,9,24.5,0.09426924381146151,1.0,False
2665,matlab_export,0,10.5,0.09245411284840245,0.09245411284840245,False
2665,matlab_export,1,17.0,0.09721278042148199,0.18966689326988445,False
2665,matlab_export,2,17.5,0.09177430319510536,0.28144119646498983,False
2665,matlab_export,3,18.0,0.10061182868796736,0.3820530251529572,False
2665,matlab_export,4,19.5,0.11182868796736914,0.49388171312032636,False
2665,matlab_export,5,19.5,0.10401087695445276,0.5978925900747791,True
2665,matlab_export,6,20.0,0.09313392250169952,0.6910265125764786,False
2665,matlab_export,7,20.5,0.09585316111488783,0.7868796736913665,False
2665,matlab_export,8,21.0,0.1159075458871516,0.902787219578518,False
2665,matlab_export,9,24.5,0.09721278042148199,1.0,False
2665,python_same_mask,0,10.5,0.09118337244384847,0.09118337244384847,False
2665,python_same_mask,1,17.0,0.09587663426081126,0.18706000670465972,False
2665,python_same_mask,2,18.5,0.10358699296010727,0.290646999664767,False
2665,python_same_mask,3,19.5,0.11029165269862555,0.40093865236339254,False
2665,python_same_mask,4,19.5,0.10258129399932954,0.5035199463627221,True
2665,python_same_mask,5,20.0,0.0918538384177003,0.5953737847804225,False
2665,python_same_mask,6,20.5,0.09453570231310761,0.6899094870935301,False
2665,python_same_mask,7,21.0,0.1143144485417365,0.8042239356352665,False
2665,python_same_mask,8,22.0,0.09989943010392223,0.9041233657391887,False
2665,python_same_mask,9,24.5,0.09587663426081126,1.0,False
