variant,aligned_frame,python_frame,sample_kind,matlab_alpha_deg,saved_python_raw_alpha_deg,raw_alpha_deg,alpha_error_deg,abs_alpha_error_deg,nearest_peak_alpha_deg,nearest_peak_error_deg,top_peak_alpha_deg,top_peak_error_deg,n_candidates,candidate_hit_1deg,candidate_hit_2deg,candidate_present_but_weighted_median_wrong,emask_source,emask_density,fas_thres_density,fascicle_masked_density
matlab_literal__matlab,0,1,worst,18.5,21.0,21.0,2.5,2.5,19.0,0.5,19.0,0.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.22743288336878612,0.06024618672688597
matlab_literal__dynamic,0,1,worst,18.5,21.0,18.5,0.0,0.0,18.5,0.0,19.0,0.5,10,True,True,False,dynamic,0.38426098615829746,0.22743288336878612,0.0725656044277318
line_mask__matlab,0,1,worst,18.5,21.0,21.0,2.5,2.5,19.0,0.5,19.0,0.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.21999032189771456,0.06024618672688597
line_mask__dynamic,0,1,worst,18.5,21.0,18.5,0.0,0.0,18.5,0.0,19.0,0.5,10,True,True,False,dynamic,0.38426098615829746,0.21999032189771456,0.07216487050497515
matlab_literal__matlab,71,72,worst,12.5,26.5,26.5,14.0,14.0,14.5,2.0,26.5,14.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.2168499793332191,0.058308045930660427
matlab_literal__dynamic,71,72,worst,12.5,26.5,14.5,2.0,2.0,12.5,0.0,26.5,14.0,10,True,True,False,dynamic,0.37578760598026073,0.2168499793332191,0.06936225338481546
line_mask__matlab,71,72,worst,12.5,26.5,26.5,14.0,14.0,14.5,2.0,26.5,14.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.20968213482806247,0.058308045930660427
line_mask__dynamic,71,72,worst,12.5,26.5,14.5,2.0,2.0,12.5,0.0,26.5,14.0,10,True,True,False,dynamic,0.37578760598026073,0.20968213482806247,0.06891363301845896
matlab_literal__matlab,72,73,worst,14.5,26.5,26.5,12.0,12.0,14.5,0.0,26.5,12.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.21279475366205278,0.057796417085883074
matlab_literal__dynamic,72,73,worst,14.5,26.5,20.0,5.5,5.5,14.5,0.0,14.5,0.0,10,True,True,True,dynamic,0.37578760598026073,0.21279475366205278,0.06803151432056698
line_mask__matlab,72,73,worst,14.5,26.5,26.5,12.0,12.0,14.5,0.0,26.5,12.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.20552105491314912,0.057796417085883074
line_mask__dynamic,72,73,worst,14.5,26.5,20.0,5.5,5.5,14.5,0.0,14.5,0.0,10,True,True,True,dynamic,0.37578760598026073,0.20552105491314912,0.06771143125018902
matlab_literal__matlab,75,76,worst,14.0,26.5,26.5,12.5,12.5,13.5,0.5,28.0,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.2157183470607805,0.05833829000030244
matlab_literal__dynamic,75,76,worst,14.0,26.5,15.5,1.5,1.5,14.0,0.0,27.0,13.0,10,True,True,False,dynamic,0.37446694827255955,0.2157183470607805,0.06918330930610023
line_mask__matlab,75,76,worst,14.0,26.5,26.5,12.5,12.5,13.5,0.5,28.0,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.20838920085086649,0.05833829000030244
line_mask__dynamic,75,76,worst,14.0,26.5,15.5,1.5,1.5,14.0,0.0,27.0,13.0,10,True,True,False,dynamic,0.37446694827255955,0.20838920085086649,0.06886322623572227
matlab_literal__matlab,95,96,worst,17.5,29.0,29.0,11.5,11.5,15.0,2.5,29.5,12.0,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.20076265462280604,0.05692942042281209
matlab_literal__dynamic,95,96,worst,17.5,29.0,16.0,-1.5,1.5,16.0,1.5,10.0,-7.5,10,False,True,False,dynamic,0.37446694827255955,0.20076265462280604,0.0660832921677941
line_mask__matlab,95,96,worst,17.5,29.0,29.0,11.5,11.5,15.0,2.5,29.5,12.0,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.19407619489278477,0.05692942042281209
line_mask__dynamic,95,96,worst,17.5,29.0,16.0,-1.5,1.5,16.0,1.5,10.0,-7.5,10,False,True,False,dynamic,0.37446694827255955,0.19407619489278477,0.0658035345236055
matlab_literal__matlab,96,97,worst,16.0,28.5,28.5,12.5,12.5,15.5,0.5,30.0,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.19534896615688607,0.05541721694071154
matlab_literal__dynamic,96,97,worst,16.0,28.5,27.5,11.5,11.5,15.0,1.0,13.5,-2.5,10,True,True,True,dynamic,0.3730202736080167,0.19534896615688607,0.0633613259000131
line_mask__matlab,96,97,worst,16.0,28.5,28.5,12.5,12.5,15.5,0.5,30.0,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.1890607200104846,0.05541721694071154
line_mask__dynamic,96,97,worst,16.0,28.5,27.5,11.5,11.5,15.0,1.0,13.5,-2.5,10,True,True,True,dynamic,0.3730202736080167,0.1890607200104846,0.06327311403022391
matlab_literal__matlab,108,109,worst,19.0,31.5,31.5,12.5,12.5,19.0,0.0,32.0,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18657566562156605,0.05399574566753702
matlab_literal__dynamic,108,109,worst,19.0,31.5,22.0,3.0,3.0,19.0,0.0,19.0,0.0,10,True,True,False,dynamic,0.367495690220076,0.18657566562156605,0.06218432752311151
line_mask__matlab,108,109,worst,19.0,31.5,31.5,12.5,12.5,19.0,0.0,32.0,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18071083645015273,0.05399574566753702
line_mask__dynamic,108,109,worst,19.0,31.5,22.0,3.0,3.0,19.0,0.0,19.0,0.0,10,True,True,False,dynamic,0.367495690220076,0.18071083645015273,0.06177603258294436
matlab_literal__matlab,113,114,worst,19.5,32.0,32.0,12.5,12.5,19.5,0.0,33.5,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18424435191999436,0.05464599316484026
matlab_literal__dynamic,113,114,worst,19.5,32.0,19.5,0.0,0.0,19.5,0.0,19.5,0.0,10,True,True,False,dynamic,0.3660439748772595,0.18424435191999436,0.06249936991521579
line_mask__matlab,113,114,worst,19.5,32.0,32.0,12.5,12.5,19.5,0.0,33.5,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.17754024981601524,0.05464599316484026
line_mask__dynamic,113,114,worst,19.5,32.0,19.5,0.0,0.0,19.5,0.0,19.5,0.0,10,True,True,False,dynamic,0.3660439748772595,0.17754024981601524,0.062108717349006484
matlab_literal__matlab,114,115,worst,19.5,32.0,32.0,12.5,12.5,18.5,1.0,32.0,12.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18001522284838647,0.052647364229330695
matlab_literal__dynamic,114,115,worst,19.5,32.0,32.0,12.5,12.5,18.5,1.0,32.0,12.5,10,True,True,True,dynamic,0.3660439748772595,0.18001522284838647,0.06039740707509603
line_mask__matlab,114,115,worst,19.5,32.0,32.0,12.5,12.5,18.5,1.0,32.0,12.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.17373705805853235,0.052647364229330695
line_mask__dynamic,114,115,worst,19.5,32.0,32.0,12.5,12.5,18.5,1.0,32.0,12.5,10,True,True,True,dynamic,0.3660439748772595,0.17373705805853235,0.05973707822124545
matlab_literal__matlab,118,119,worst,19.5,32.5,32.5,13.0,13.0,19.5,0.0,34.5,15.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.1804814855887008,0.052496143881120644
matlab_literal__dynamic,118,119,worst,19.5,32.5,19.0,-0.5,0.5,19.0,0.5,32.0,12.5,10,True,True,False,dynamic,0.3646174629258113,0.1804814855887008,0.060556188440716585
line_mask__matlab,118,119,worst,19.5,32.5,32.5,13.0,13.0,19.5,0.0,34.5,15.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.173666488562701,0.052496143881120644
line_mask__dynamic,118,119,worst,19.5,32.5,19.0,-0.5,0.5,19.0,0.5,32.0,12.5,10,True,True,False,dynamic,0.3646174629258113,0.173666488562701,0.060064722309033904
matlab_literal__matlab,164,165,worst,31.0,30.5,30.5,-0.5,0.5,30.5,0.5,13.5,-17.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.18634127408184045,0.05597925256822558
matlab_literal__dynamic,164,165,worst,31.0,30.5,21.0,-10.0,10.0,31.0,0.0,13.5,-17.5,10,True,True,True,dynamic,0.3632463984353735,0.18634127408184045,0.06377718185759075
line_mask__matlab,164,165,worst,31.0,30.5,30.5,-0.5,0.5,30.5,0.5,13.5,-17.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.1800177431875233,0.05597925256822558
line_mask__dynamic,164,165,worst,31.0,30.5,21.0,-10.0,10.0,31.0,0.0,13.5,-17.5,10,True,True,True,dynamic,0.3632463984353735,0.1800177431875233,0.06352766828304417
matlab_literal__matlab,319,320,worst,23.5,25.0,25.0,1.5,1.5,23.5,0.0,25.0,1.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.21759095903944836,0.05801568659078766
matlab_literal__dynamic,319,320,worst,23.5,25.0,23.0,-0.5,0.5,23.5,0.0,25.0,1.5,10,True,True,False,dynamic,0.37578760598026073,0.21759095903944836,0.06951599407216236
line_mask__matlab,319,320,worst,23.5,25.0,25.0,1.5,1.5,23.5,0.0,25.0,1.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.21082636879618522,0.05801568659078766
line_mask__dynamic,319,320,worst,23.5,25.0,23.0,-0.5,0.5,23.5,0.0,25.0,1.5,10,True,True,False,dynamic,0.37578760598026073,0.21082636879618522,0.0688279414878066
matlab_literal__matlab,437,438,worst,19.0,31.5,31.5,12.5,12.5,19.5,0.5,42.0,23.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18909348441926346,0.055717137297994816
matlab_literal__dynamic,437,438,worst,19.0,31.5,27.5,8.5,8.5,19.5,0.5,19.5,0.5,10,True,True,True,dynamic,0.361870293266662,0.18909348441926346,0.06484076497333481
line_mask__matlab,437,438,worst,19.0,31.5,31.5,12.5,12.5,19.5,0.5,42.0,23.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18123506699061426,0.055717137297994816
line_mask__dynamic,437,438,worst,19.0,31.5,19.5,0.5,0.5,19.5,0.5,19.5,0.5,10,True,True,False,dynamic,0.361870293266662,0.18123506699061426,0.06431149375459962
matlab_literal__matlab,475,476,worst,25.0,25.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.21307955198451503,0.057690562842136035
matlab_literal__dynamic,475,476,worst,25.0,25.0,23.5,-1.5,1.5,25.0,0.0,25.0,0.0,10,True,True,False,dynamic,0.3660439748772595,0.21307955198451503,0.0670838668051173
line_mask__matlab,475,476,worst,25.0,25.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.20601504138396862,0.057690562842136035
line_mask__dynamic,475,476,worst,25.0,25.0,23.5,-1.5,1.5,25.0,0.0,25.0,0.0,10,True,True,False,dynamic,0.3660439748772595,0.20601504138396862,0.06651174982105593
matlab_literal__matlab,613,614,worst,17.5,30.0,30.0,12.5,12.5,17.5,0.0,30.5,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.19749377476233201,0.05646315768249776
matlab_literal__dynamic,613,614,worst,17.5,30.0,19.0,1.5,1.5,16.5,1.0,15.0,-2.5,10,True,True,False,dynamic,0.36886171403224016,0.19749377476233201,0.06502727006946055
line_mask__matlab,613,614,worst,17.5,30.0,30.0,12.5,12.5,17.5,0.0,30.5,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.19091316927605778,0.05646315768249776
line_mask__dynamic,613,614,worst,17.5,30.0,19.0,1.5,1.5,16.5,1.0,15.0,-2.5,10,True,True,False,dynamic,0.36886171403224016,0.19091316927605778,0.06467442259030375
matlab_literal__matlab,631,632,worst,33.5,33.0,33.0,-0.5,0.5,33.5,0.0,35.0,1.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.1847635417821822,0.0568638916052544
matlab_literal__dynamic,631,632,worst,33.5,33.0,31.5,-2.0,2.0,33.5,0.0,35.0,1.5,10,True,True,False,dynamic,0.3660439748772595,0.1847635417821822,0.06479791920800863
line_mask__matlab,631,632,worst,33.5,33.0,33.0,-0.5,0.5,33.5,0.0,35.0,1.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.17884326514975854,0.0568638916052544
line_mask__dynamic,631,632,worst,33.5,33.0,31.5,-2.0,2.0,33.5,0.0,35.0,1.5,10,True,True,False,dynamic,0.3660439748772595,0.17884326514975854,0.06454840563346204
matlab_literal__matlab,728,729,worst,17.0,29.0,29.0,12.0,12.0,13.5,3.5,27.5,10.5,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.19464831187684614,0.05569949492403698
matlab_literal__dynamic,728,729,worst,17.0,29.0,27.5,10.5,10.5,17.0,0.0,27.5,10.5,10,True,True,True,dynamic,0.3646174629258113,0.19464831187684614,0.06448791749417801
line_mask__matlab,728,729,worst,17.0,29.0,29.0,12.0,12.0,13.5,3.5,27.5,10.5,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.18800469791215105,0.05569949492403698
line_mask__dynamic,728,729,worst,17.0,29.0,27.5,10.5,10.5,17.0,0.0,27.5,10.5,10,True,True,True,dynamic,0.3646174629258113,0.18800469791215105,0.0639939310233585
matlab_literal__matlab,730,731,worst,14.0,27.0,27.0,13.0,13.0,12.5,1.5,27.0,13.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.1945197745808676,0.055152581331343944
matlab_literal__dynamic,730,731,worst,14.0,27.0,26.5,12.5,12.5,14.0,0.0,26.5,12.5,10,True,True,True,dynamic,0.3632463984353735,0.1945197745808676,0.06403425644954786
line_mask__matlab,730,731,worst,14.0,27.0,27.0,13.0,13.0,12.5,1.5,27.0,13.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.18767453348522578,0.055152581331343944
line_mask__dynamic,730,731,worst,14.0,27.0,26.5,12.5,12.5,14.0,0.0,26.5,12.5,10,True,True,True,dynamic,0.3632463984353735,0.18767453348522578,0.06337140725656044
matlab_literal__matlab,788,789,worst,19.5,21.0,21.0,1.5,1.5,19.5,0.0,21.0,1.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.22708255622876614,0.06169286139142883
matlab_literal__dynamic,788,789,worst,19.5,21.0,19.5,0.0,0.0,19.5,0.0,19.5,0.0,10,True,True,False,dynamic,0.38426098615829746,0.22708255622876614,0.07336959261238192
line_mask__matlab,788,789,worst,19.5,21.0,21.0,1.5,1.5,19.5,0.0,21.0,1.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.21985422358432552,0.06169286139142883
line_mask__dynamic,788,789,worst,19.5,21.0,19.5,0.0,0.0,19.5,0.0,19.5,0.0,10,True,True,False,dynamic,0.38426098615829746,0.21985422358432552,0.0729713790287621
matlab_literal__matlab,882,883,worst,14.5,28.0,28.0,13.5,13.5,14.0,0.5,28.0,13.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.1997066325244725,0.056243888177593175
matlab_literal__dynamic,882,883,worst,14.5,28.0,17.0,2.5,2.5,14.5,0.0,14.0,-0.5,10,True,True,False,dynamic,0.37446694827255955,0.1997066325244725,0.06542548365308036
line_mask__matlab,882,883,worst,14.5,28.0,28.0,13.5,13.5,14.0,0.5,28.0,13.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.1927177320980311,0.056243888177593175
line_mask__dynamic,882,883,worst,14.5,28.0,17.0,2.5,2.5,14.5,0.0,14.0,-0.5,10,True,True,False,dynamic,0.37446694827255955,0.1927177320980311,0.0650020666780922
matlab_literal__matlab,909,910,worst,20.5,32.5,32.5,12.0,12.0,18.5,2.0,32.5,12.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.18846844031332857,0.05715877128426401
matlab_literal__dynamic,909,910,worst,20.5,32.5,18.5,-2.0,2.0,18.5,2.0,14.5,-6.0,10,False,True,False,dynamic,0.36886171403224016,0.18846844031332857,0.06601272267196275
line_mask__matlab,909,910,worst,20.5,32.5,32.5,12.0,12.0,18.5,2.0,32.5,12.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.18237678061960017,0.05715877128426401
line_mask__dynamic,909,910,worst,20.5,32.5,18.5,-2.0,2.0,18.5,2.0,14.5,-6.0,10,False,True,False,dynamic,0.36886171403224016,0.18237678061960017,0.06569768027985846
matlab_literal__matlab,910,911,worst,18.5,32.5,32.5,14.0,14.0,23.0,4.5,32.0,13.5,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.18876331999233817,0.05687145262266491
matlab_literal__dynamic,910,911,worst,18.5,32.5,31.0,12.5,12.5,18.5,0.0,14.5,-4.0,10,True,True,True,dynamic,0.36886171403224016,0.18876331999233817,0.0656195497666166
line_mask__matlab,910,911,worst,18.5,32.5,32.5,14.0,14.0,23.0,4.5,32.0,13.5,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.18271450606393597,0.05687145262266491
line_mask__dynamic,910,911,worst,18.5,32.5,31.0,12.5,12.5,18.5,0.0,14.5,-4.0,10,True,True,True,dynamic,0.36886171403224016,0.18271450606393597,0.0652591412700493
matlab_literal__matlab,946,947,worst,34.0,32.5,32.5,-1.5,1.5,34.0,0.0,34.0,0.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.18762916738076277,0.05735283739780025
matlab_literal__dynamic,946,947,worst,34.0,32.5,32.0,-2.0,2.0,34.0,0.0,34.0,0.0,10,True,True,False,dynamic,0.36886171403224016,0.18762916738076277,0.06589426673253153
line_mask__matlab,946,947,worst,34.0,32.5,32.5,-1.5,1.5,34.0,0.0,34.0,0.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.18122750597320375,0.05735283739780025
line_mask__dynamic,946,947,worst,34.0,32.5,32.0,-2.0,2.0,34.0,0.0,34.0,0.0,10,True,True,False,dynamic,0.36886171403224016,0.18122750597320375,0.06559182603611143
matlab_literal__matlab,980,981,worst,17.5,30.5,30.5,13.0,13.0,17.5,0.0,31.0,13.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.19463066950288832,0.057670400129041365
matlab_literal__dynamic,980,981,worst,17.5,30.5,29.0,11.5,11.5,17.0,0.5,31.0,13.5,10,True,True,True,dynamic,0.37026302259232,0.19463066950288832,0.06634288709888803
line_mask__matlab,980,981,worst,17.5,30.5,30.5,13.0,13.0,17.5,0.0,31.0,13.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.188294536912887,0.057670400129041365
line_mask__dynamic,980,981,worst,17.5,30.5,29.0,11.5,11.5,17.0,0.5,31.0,13.5,10,True,True,True,dynamic,0.37026302259232,0.188294536912887,0.06588418537598419
